sensor_id,lat,lon,pressure,temperature,humidity
3474,42.68,23.293,94970.61,32.63,33.93
3096,42.7,23.36,95518.38,22.53,55.0
2266,42.738,23.272,95545.34,17.25,75.56
2266,42.738,23.272,95599.66,32.21,31.71
2323,42.686,23.4,94783.25,39.38,18.57
3428,42.624,23.406,94947.67,19.67,64.35
2230,42.692,23.332,95307.84,21.33,54.68
4471,42.698,23.291,94085.41,27.96,45.55
3512,42.683,23.335,95084.56,35.12,35.15
3738,42.7,23.332,95821.55,45.85,11.73
3436,42.693,23.359,95399.03,31.82,31.83
2234,42.685,23.356,95697.02,19.23,62.97
1846,42.64,23.31,93862.2,27.73,53.31
2607,42.66,23.319,95243.45,14.59,79.79
3428,42.624,23.406,94957.64,33.1,38.38
1962,42.69,23.324,95314.14,21.28,75.79
2036,42.657,23.349,95166.7,21.77,62.35
3102,42.665,23.392,95528.36,24.49,52.31
2234,42.685,23.356,95007.5,26.75,41.89
3092,42.666,23.284,94883.61,17.53,0.0
2264,42.671,23.31,95286.02,18.03,68.93
3438,42.738,23.293,95326.05,28.23,40.55
3620,42.678,23.254,95199.37,16.08,82.46
3296,42.671,23.325,94998.06,34.0,24.37
3558,42.671,23.364,95382.09,21.31,59.41
2228,42.693,23.333,95371.92,29.63,33.79
2262,42.691,23.324,95666.59,26.57,42.51
2040,42.686,23.351,94898.11,34.11,30.47
2262,42.691,23.324,95386.05,17.61,66.53
3620,42.678,23.254,94200.98,17.56,93.35
3836,42.702,23.371,94868.28,21.38,71.74
3620,42.678,23.254,94807.78,31.68,43.83
3472,42.669,23.318,94227.12,28.35,42.73
2232,42.685,23.301,94710.82,36.27,26.62
3982,42.654,23.33,94550.44,23.93,0.0
3982,42.654,23.33,95009.72,25.65,0.0
2323,42.686,23.4,95785.2,20.41,60.37
2323,42.686,23.4,95667.73,17.03,65.5
2038,42.694,23.32,95755.33,25.12,45.83
3620,42.678,23.254,94770.69,32.43,37.53
3096,42.7,23.36,94979.62,21.02,65.79
3620,42.678,23.254,94880.44,31.3,37.45
2266,42.738,23.272,95984.29,17.42,90.57
2230,42.692,23.332,94881.07,24.82,41.31
2266,42.738,23.272,95555.88,19.36,66.65
3092,42.666,23.284,94624.53,20.33,59.65
3428,42.624,23.406,95210.84,27.14,39.9
3982,42.654,23.33,94497.44,23.74,0.0
2036,42.657,23.349,94964.66,14.67,84.77
3642,42.694,23.36,94222.28,18.46,79.09
2264,42.671,23.31,94095.27,20.7,69.68
2038,42.694,23.32,95460.2,17.32,69.91
2230,42.692,23.332,95391.85,29.1,37.4
3512,42.683,23.335,95156.05,21.71,55.28
2323,42.686,23.4,94803.24,17.41,88.53
3836,42.702,23.371,96072.54,29.18,34.81
4558,42.706,23.38,94993.9,17.12,67.2
3836,42.702,23.371,95564.91,26.27,46.64
3620,42.678,23.254,94098.34,17.36,95.73
2266,42.738,23.272,95469.8,34.2,25.71
3428,42.624,23.406,95466.98,19.78,54.12
3428,42.624,23.406,94876.69,31.26,46.81
3092,42.666,23.284,94488.13,23.44,0.0
1962,42.69,23.324,95422.43,24.34,54.8
2036,42.657,23.349,95187.38,16.48,78.17
3836,42.702,23.371,94465.51,32.2,31.21
3968,42.689,23.357,95134.97,28.98,43.27
3738,42.7,23.332,95132.58,27.57,46.36
2036,42.657,23.349,94449.48,18.11,61.3
2228,42.693,23.333,95675.16,22.58,46.51
2230,42.692,23.332,95531.3,25.19,55.22
3092,42.666,23.284,94079.58,16.46,0.0
2607,42.66,23.319,93700.89,23.13,63.31
3436,42.693,23.359,94941.0,23.54,43.89
2234,42.685,23.356,94785.15,37.64,23.08
1846,42.64,23.31,93755.17,19.56,63.28
2036,42.657,23.349,94712.37,30.2,33.34
2323,42.686,23.4,94603.0,17.66,79.7
2607,42.66,23.319,94811.52,20.1,80.2
3096,42.7,23.36,95925.66,19.0,58.88
2323,42.686,23.4,95553.75,15.22,86.36
1846,42.64,23.31,93931.93,17.3,83.75
3096,42.7,23.36,94842.98,20.02,75.4
2292,42.663,23.273,94763.91,31.44,31.58
2266,42.738,23.272,95196.19,20.31,74.06
3836,42.702,23.371,95673.95,17.21,82.54
2232,42.685,23.301,95465.73,20.35,60.92
3472,42.669,23.318,94635.98,25.25,46.99
2228,42.693,23.333,95635.11,19.94,60.24
3474,42.68,23.293,93573.13,28.61,43.12
2036,42.657,23.349,93914.17,19.0,76.59
2038,42.694,23.32,94652.22,22.23,67.78
3096,42.7,23.36,95728.96,28.64,34.34
3102,42.665,23.392,95470.98,23.58,50.95
3738,42.7,23.332,94969.3,30.37,27.98
3836,42.702,23.371,95665.58,22.37,57.23
3512,42.683,23.335,95041.58,30.29,26.85
2228,42.693,23.333,95017.73,24.76,40.54
1850,42.677,23.311,94973.33,33.53,26.87
1962,42.69,23.324,95557.87,30.88,30.03
2230,42.692,23.332,94423.59,22.74,69.25
3096,42.7,23.36,95675.59,31.4,29.55
3432,42.71,23.419,94739.34,19.28,81.09
3738,42.7,23.332,94529.69,27.66,49.32
3558,42.671,23.364,95330.63,36.71,20.72
2234,42.685,23.356,95446.93,26.59,40.22
3474,42.68,23.293,95414.48,18.28,70.8
1954,42.704,23.354,95488.54,16.93,73.77
3620,42.678,23.254,93846.61,21.91,68.37
3836,42.702,23.371,95404.92,33.99,36.14
3472,42.669,23.318,94176.59,18.77,77.28
3558,42.671,23.364,95307.34,26.12,44.75
2607,42.66,23.319,95174.85,20.56,58.89
3474,42.68,23.293,95052.03,25.71,43.57
3642,42.694,23.36,93930.42,22.69,66.76
1962,42.69,23.324,94880.27,27.59,38.8
2266,42.738,23.272,95907.58,32.18,38.57
3738,42.7,23.332,95053.11,37.45,17.71
3620,42.678,23.254,95111.25,17.81,80.09
3738,42.7,23.332,95524.21,26.89,42.42
3432,42.71,23.419,95810.13,22.9,63.05
2234,42.685,23.356,95074.23,21.19,45.52
1850,42.677,23.311,94678.67,29.94,37.28
2294,42.645,23.265,92546.84,27.93,40.36
2232,42.685,23.301,95376.53,25.55,38.29
2230,42.692,23.332,95685.16,29.05,33.62
2264,42.671,23.31,93856.66,32.43,34.19
3102,42.665,23.392,94983.76,25.85,34.52
2232,42.685,23.301,94572.44,26.33,49.5
3982,42.654,23.33,94863.36,32.85,0.0
3296,42.671,23.325,95040.39,25.41,42.4
