sensor_id,lat,lon,pressure,temperature,humidity
3432,42.71,23.419,95505.02,22.05,46.21
2232,42.685,23.301,93809.08,25.65,55.99
2224,42.651,23.335,94777.5,26.14,41.9
2262,42.691,23.324,95367.42,16.78,81.11
2292,42.663,23.273,94231.14,19.93,55.84
2230,42.692,23.332,95522.87,27.32,37.78
3836,42.702,23.371,95314.79,22.34,61.48
3512,42.683,23.335,94810.34,35.8,29.67
1952,42.709,23.398,95780.52,19.53,77.9
3512,42.683,23.335,95546.48,25.29,42.25
